customer_id,age,email,salary,country,phone,signup_date
C04875,999,user4875@example.com,41017,USA,3637929158,2023-09-22
C01026,70,user1026@example.com,-1000,Australia,=1-312-654-7472,2023-02-25
C03546,79,user3546@example.com,82797,USA,423.366.4508,2023-09-15
C03822,20,@domain.com,54624,India,719-808-4765,2023-08-06
C04395,68,user4395@example.com,155942,USA,,2023-05-28
C00923,70,user3423@example.com,99521,USA,970.521.2218,2023-10-07
C01991,77,user2418@example.com,59709,UK,(318) 414-9221,2023-07-29
C00380,74,user1096@example.com,,UK,6945728232,2023-10-02
C04460,-25,user4460@example.com,49252,USA,502-394-4542,2023-04-14
C00706,61,user706@example.com,142935,Canada,553-249-1162,2023-05-01
C02375,37,user2375@example.com,188744,Canada,733 274 6639,2023-10-23
C00531,37,user531@example.com,143903,USA,4723534498,2023-05-04
C00801,29,,187561,Canada,101-932-8612,2023-06-17
C00113,19,user4525@example.com,80248,UK,6310010573,2023-05-20
C01457,64,user1457@example.com,-50000,Spain,213.259.1983,2023-06-25
C01392,29,user1392@example.com,,USA,246-173-7986,2023-12-01
C03650,40,user3650@example.com,,Australia,110-289-4419,2023-03-18
C03200,500,user3200@example.com,153745,Australia,(820) 179-7187,2023-02-09
C02672,19,invalid-email,121319,UK,724-154-6871,2023-01-11
C02813,43,user2813@example.com,35583,Canada,725.881.9693,2023-01-08
,31,user66@example.com,128826,Australia,(816) 781-6412,2023-10-29
C00158,29,user158@example.com,111029,UK,112-521-2600,2023-10-08
C03241,66,user3241@example.com,162341,Australia,641 918 9027,2023-01-14
C04102,-5,user4102@example.com,-5000,USA,168-828-5327,2023-10-23
C00627,72,user627@example.com,56990,USA,,2023-02-07
C00019,38,user1966@example.com,81033,UK,=1-335-559-7862,2023-02-30
C01439,,user1439@example.com,121198,UK,,2023-04-25
C02241,22,user2241@example.com,149873,Australia,470.448.9215,2023-02-29
C03014,45,user3014@example.com,75156,Brazil,9059268380,2023-08-20
C03907,75,user3907@example.com,161301,USA,342-234-2896,2023-10-06
C02854,25,user3519@example.com,110691,USA,202.190.9252,2023-04-03
C00643,63,user643@example.com,59084,UK,113-275-8817,2023-02-16
C01927,34,user1927@example.com,76250,Australia,=1-664-421-2049,2023-02-15
C02188,300,user2188@example.com,41350,Australia,957.797.4130,2023-06-03
C00684,,user684@example.com,120009,USA,448.903.6820,2023-07-02
C00677,21,user677@example.com,108513,UK,912-525-9089,2023-09-01
C01895,-25,user1895@example.com,158180,Canada,(412) 859-4453,2023-09-04
C01877,,user@@domain.com,89222,UK,298.451.8152,2023-10-06
C01058,71,user1058@example.com,115679,Canada,287.552.1099,2023-08-05
C04850,62,user4850@example.com,197973,Canada,230-653-5849,2023-01-29
C00822,78,user3951@example.com,199176,USA,341.666.3357,2023-12-03
C02836,999,user2836@example.com,156457,Brazil,1642037497,2023-10-14
C03140,19,user3140@example.com,,Australia,502.387.8610,2023-02-16
C00297,70,user297@example.com,123783,Canada,164-481-6656,2023-07-09
C03363,69,user3363@example.com,132127,USA,651.873.8478,2023-12-30
C03605,30,user3605@example.com,41182,Canada,354 628 4176,2023-08-12
C04700,59,user4700@example.com,168919,Australia,8700802495,2023-10-27
C04206,33,user4206@example.com,136553,UK,798 985 5488,2023-09-16
C02381,76,user2381@example.com,143978,UK,(384) 723-2959,2023-06-09
C00834,64,user1256@example.com,171407,Canada,274-425-7382,2023-01-23
C00169,57,user169@example.com,181165,USA,808 783 6298,2023-03-23
C04134,22,user4134@example.com,92532,UK,(830) 220-5237,2023-04-27
C00030,200,user30@example.com,88608,UK,(637) 409-3867,2023-05-22
C01748,19,user1748@example.com,143710,USA,9446789654,2023-08-27
C04984,56,user4984@example.com,117421,UK,291.572.2037,2023-08-14
C04980,200,user4980@example.com,141904,USA,(779) 617-3569,2023-04-01
C02112,0,.user@domain.com,,UK,=1-765-269-3318,2023-11-05
,43,no-dot@com,173250,Australia,,2023-09-16
C02811,35,user2811@example.com,58899,USA,424 579 5025,2023-04-28
C02102,30,user2102@example.com,115959,UK,535-816-2269,2023-10-20
C00512,51,user1011@example.com,36859,UK,(179) 787-1183,2023-04-31
C04631,50,user4631@example.com,38314,UK,670-387-6215,2023-10-06
C00545,40,user545@example.com,94887,Canada,689.184.2815,2023-11-28
C01742,78,user1742@example.com,,UK,703 527 5526,2023-09-09
C03732,55,user3732@example.com,58481,USA,(115) 675-8895,2023-06-19
C04817,65,user4817@example.com,181007,USA,7783667060,2023-04-27
C01718,31,user1718@example.com,100442,UK,,2023-02-30
C00995,71,user995@example.com,47374,Australia,521 880 2986,2023-04-22
C04789,36,user4789@example.com,166213,Australia,408.972.9496,2023-12-07
C02776,0,user2776@example.com,59670,USA,2003570520,2023-03-18
C04060,27,,117908,UK,573-829-4755,2023-07-16
C00024,41,user24@example.com,198785,USA,(684) 720-7382,2023-08-19
C00950,75,user950@example.com,,Australia,333 332 4438,2023-01-10
C00241,44,user241@example.com,61433,Canada,280 263 1706,2023-09-03
C01555,46,user1555@example.com,90652,USA,,2023-06-24
C01435,42,user1435@example.com,184455,Australia,=1-941-335-7301,2023-09-26
C01671,68,user1671@example.com,126143,Canada,3265977202,2023-06-16
C00486,50,user486@example.com,96216,Australia,537 314 6690,2023-01-14
C02754,-50,user2754@example.com,174740,Australia,(230) 630-1584,2023-04-31
C03652,47,user3652@example.com,59777,Australia,897.524.2835,2023-03-18
C04272,42,user4272@example.com,182647,Canada,968.335.6006,2023-02-13
C00804,76,user804@example.com,,Australia,,2023-05-05
C03781,47,user3781@example.com,41814,Australia,5128485075,2023-05-06
C01740,36,user1740@example.com,,Canada,997 639 3866,2023-04-15
C04016,69,user4016@example.com,90624,Canada,8932259541,2023-06-23
C02196,,user2196@example.com,113384,Australia,890.757.9569,2023-03-28
C00085,53,.user@domain.com,97055,Canada,606.760.2007,2023-02-30
C02124,75,user2124@example.com,,UK,458-751-4703,2023-10-31
C03017,,user3017@example.com,147925,,245.369.8486,2023-03-08
C02534,37,user2534@example.com,111441,Canada,,2023-06-28
C01872,64,user1872@example.com,71347,Australia,9667651430,2023-02-10
C00107,32,user107@example.com,87505,USA,(186) 240-7813,2023-05-14
C03151,75,user3151@example.com,33089,Australia,=1-792-521-5563,2023-08-10
C00100,66,user2990@example.com,0,USA,=1-362-442-4207,2023-09-09
C01579,64,user1579@example.com,,USA,=1-759-502-1845,2023-06-01
C00200,21,user200@example.com,79429,Australia,498 164 9856,2023-08-03
C04412,,user4412@example.com,166260,Brazil,(801) 287-2125,2023-07-13
C03066,28,user3066@example.com,,USA,223.312.4042,2023-04-10
C04956,51,user4956@example.com,,UK,,2023-03-24
C04241,56,user4241@example.com,169805,Australia,250-847-2817,2023-08-30
C04657,0,user4657@example.com,33771,UK,3981256048,2023-12-23
C03131,61,user3131@example.com,113521,Canada,560 720 4681,2023-10-19
C02182,300,user2182@example.com,57241,USA,=1-574-190-2904,2023-09-14
C03415,34,user3415@example.com,,UK,=1-884-219-3224,2023-09-20
C00882,79,user882@example.com,91510,Canada,,2023-01-21
C04223,20,user4223@example.com,101805,Mexico,(976) 291-2940,2023-06-05
C04570,-50,user4570@example.com,45385,USA,(186) 684-9390,2023-12-26
,48,user@,0,UK,159 432 9297,2023-06-31
C00554,75,.user@domain.com,41442,Australia,573-303-5289,2023-05-03
C00734,62,user734@example.com,,USA,4167591308,2023-09-14
C00180,22,user180@example.com,58151,Spain,119 609 3438,2023-08-06
C00417,50,user@@domain.com,68578,USA,488.534.4510,2023-04-07
C00080,25,user80@example.com,183077,USA,3090061251,2023-09-18
C00473,46,user473@example.com,0,Canada,=1-627-531-5368,2023-04-14
C00157,75,user671@example.com,60981,Canada,(400) 840-7395,2023-02-08
C04909,,user4909@example.com,197558,Mexico,655.185.3322,2023-12-10
C01502,200,user1502@example.com,181638,Australia,172-283-8548,2023-03-09
C02803,18,user2803@example.com,98689,USA,=1-767-563-5920,2023-01-26
C02093,60,user2093@example.com,109526,UK,=1-840-959-4808,2023-10-03
C00249,23,user249@example.com,107227,UK,303 865 6336,2023-11-03
C00539,-10,user539@example.com,86408,UK,(815) 367-9295,2023-03-18
C01346,54,,-1000,Canada,(744) 860-2971,2023-05-30
C04699,-25,no-dot@com,162385,Australia,=1-156-378-7501,2023-07-02
,51,user1271@example.com,191206,Canada,516.889.6123,2023-01-11
C00229,47,user229@example.com,35939,USA,1544998804,2023-04-04
C00298,61,user298@example.com,155681,USA,597 613 9629,2023-12-31
C02821,42,user2821@example.com,101792,UK,446 820 3870,2023-02-22
C03723,43,user3723@example.com,191183,Australia,947.103.6647,2023-12-15
C01184,73,user1184@example.com,53559,Australia,500 173 9648,2023-11-02
C02060,37,user2060@example.com,94427,Australia,(470) 648-4251,2023-07-18
C00191,70,user466@example.com,163872,Germany,538-453-6855,2023-01-07
C02992,999,user2992@example.com,177147,Canada,6520672499,2023-05-09
C00506,19,user506@example.com,80719,UK,(379) 239-1477,2023-08-09
